"filename", "language", "C++", "Dart", "YAML", "CMake", "Markdown", "Properties", "XML", "Java", "HTML", "comment", "blank", "total"
"f:\androidstudio\clockly\README.md", "Markdown", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 7, 18
"f:\androidstudio\clockly\analysis_options.yaml", "YAML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 22, 4, 29
"f:\androidstudio\clockly\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"f:\androidstudio\clockly\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 14, 86
"f:\androidstudio\clockly\android\app\src\main\java\vn\edu\ntu\clockly\clockly\MainActivity.java", "Java", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 7
"f:\androidstudio\clockly\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"f:\androidstudio\clockly\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"f:\androidstudio\clockly\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"f:\androidstudio\clockly\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"f:\androidstudio\clockly\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"f:\androidstudio\clockly\android\build\reports\problems\problems-report.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 548, 2, 114, 664
"f:\androidstudio\clockly\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"f:\androidstudio\clockly\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"f:\androidstudio\clockly\devtools_options.yaml", "YAML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"f:\androidstudio\clockly\lib\app.dart", "Dart", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"f:\androidstudio\clockly\lib\bidings\initial_biding.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"f:\androidstudio\clockly\lib\core\components\app_alerts.dart", "Dart", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"f:\androidstudio\clockly\lib\core\components\app_info.dart", "Dart", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"f:\androidstudio\clockly\lib\core\components\avatar.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"f:\androidstudio\clockly\lib\core\components\custom_snackbar.dart", "Dart", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"f:\androidstudio\clockly\lib\core\components\custom_text_button.dart", "Dart", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"f:\androidstudio\clockly\lib\core\components\custom_text_field.dart", "Dart", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 16, 82
"f:\androidstudio\clockly\lib\core\components\heading_text_page.dart", "Dart", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"f:\androidstudio\clockly\lib\core\components\primary_button.dart", "Dart", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 4, 62
"f:\androidstudio\clockly\lib\core\components\text_heading.dart", "Dart", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"f:\androidstudio\clockly\lib\core\components\text_title.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
