Date : 2026-05-31 13:38:29
Directory : f:\androidstudio\clockly
Total : 169 files,  11712 codes, 213 comments, 1684 blanks, all 13609 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |        140 |     10,279 |         55 |      1,337 |     11,671 |
| HTML       |          1 |        548 |          2 |        114 |        664 |
| C++        |         10 |        451 |         94 |        143 |        688 |
| CMake      |          4 |        246 |          0 |         45 |        291 |
| XML        |          7 |        104 |         40 |         22 |        166 |
| YAML       |          3 |         58 |         22 |         10 |         90 |
| Markdown   |          1 |         11 |          0 |          7 |         18 |
| Properties |          2 |         11 |          0 |          3 |         14 |
| Java       |          1 |          4 |          0 |          3 |          7 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                            | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                               |        169 |     11,712 |        213 |      1,684 |     13,609 |
| . (Files)                                                                                       |          4 |         69 |         22 |         17 |        108 |
| android                                                                                         |         11 |        667 |         42 |        142 |        851 |
| android (Files)                                                                                 |          1 |          6 |          0 |          2 |          8 |
| android\app                                                                                     |          8 |        108 |         40 |         25 |        173 |
| android\app\src                                                                                 |          8 |        108 |         40 |         25 |        173 |
| android\app\src\debug                                                                           |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                            |          6 |        102 |         32 |         23 |        157 |
| android\app\src\main (Files)                                                                    |          1 |         72 |          0 |         14 |         86 |
| android\app\src\main\java                                                                       |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\java\vn                                                                    |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\java\vn\edu                                                                |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\java\vn\edu\ntu                                                            |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\java\vn\edu\ntu\clockly                                                    |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\java\vn\edu\ntu\clockly\clockly                                            |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\res                                                                        |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                               |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                           |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                 |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                           |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                         |          1 |          3 |          4 |          1 |          8 |
| android\build                                                                                   |          1 |        548 |          2 |        114 |        664 |
| android\build\reports                                                                           |          1 |        548 |          2 |        114 |        664 |
| android\build\reports\problems                                                                  |          1 |        548 |          2 |        114 |        664 |
| android\gradle                                                                                  |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                          |          1 |          5 |          0 |          1 |          6 |
| lib                                                                                             |        138 |      9,965 |         14 |      1,275 |     11,254 |
| lib (Files)                                                                                     |          2 |         45 |          0 |         13 |         58 |
| lib\bidings                                                                                     |          1 |         14 |          0 |          3 |         17 |
| lib\core                                                                                        |         22 |      1,186 |          0 |        178 |      1,364 |
| lib\core\components                                                                             |         10 |        285 |          0 |         50 |        335 |
| lib\core\constants                                                                              |          2 |         36 |          0 |          7 |         43 |
| lib\core\services                                                                               |          4 |        341 |          0 |         67 |        408 |
| lib\core\theme                                                                                  |          3 |         60 |          0 |         10 |         70 |
| lib\core\utils                                                                                  |          3 |        464 |          0 |         44 |        508 |
| lib\features                                                                                    |        111 |      8,641 |         14 |      1,076 |      9,731 |
| lib\features (Files)                                                                            |          1 |         51 |          0 |          7 |         58 |
| lib\features\analys                                                                             |         11 |        919 |          1 |        115 |      1,035 |
| lib\features\analys\controller                                                                  |          1 |        119 |          0 |         30 |        149 |
| lib\features\analys\view                                                                        |          1 |         61 |          0 |         13 |         74 |
| lib\features\analys\widget                                                                      |          9 |        739 |          1 |         72 |        812 |
| lib\features\auth                                                                               |         28 |      1,170 |          6 |        179 |      1,355 |
| lib\features\auth\bidings                                                                       |          4 |         32 |          0 |          7 |         39 |
| lib\features\auth\controllers                                                                   |          6 |        408 |          6 |         71 |        485 |
| lib\features\auth\model                                                                         |          1 |         28 |          0 |          2 |         30 |
| lib\features\auth\splash                                                                        |          4 |        109 |          0 |         15 |        124 |
| lib\features\auth\splash (Files)                                                                |          1 |         52 |          0 |          3 |         55 |
| lib\features\auth\splash\widget                                                                 |          3 |         57 |          0 |         12 |         69 |
| lib\features\auth\validators                                                                    |          1 |         49 |          0 |         12 |         61 |
| lib\features\auth\views                                                                         |          4 |        137 |          0 |         23 |        160 |
| lib\features\auth\widgets                                                                       |          8 |        407 |          0 |         49 |        456 |
| lib\features\calendar                                                                           |          4 |        371 |          0 |         49 |        420 |
| lib\features\calendar\controller                                                                |          1 |         58 |          0 |         16 |         74 |
| lib\features\calendar\view                                                                      |          1 |         60 |          0 |          9 |         69 |
| lib\features\calendar\widget                                                                    |          2 |        253 |          0 |         24 |        277 |
| lib\features\leader_board                                                                       |          7 |        928 |          0 |         97 |      1,025 |
| lib\features\leader_board\controller                                                            |          1 |        195 |          0 |         42 |        237 |
| lib\features\leader_board\view                                                                  |          1 |         51 |          0 |          8 |         59 |
| lib\features\leader_board\widget                                                                |          5 |        682 |          0 |         47 |        729 |
| lib\features\page_chat                                                                          |         10 |        730 |          0 |         59 |        789 |
| lib\features\page_chat\model                                                                    |          1 |         12 |          0 |          2 |         14 |
| lib\features\page_chat\views                                                                    |          1 |         51 |          0 |          7 |         58 |
| lib\features\page_chat\widgets                                                                  |          8 |        667 |          0 |         50 |        717 |
| lib\features\setting                                                                            |         27 |      2,002 |          7 |        260 |      2,269 |
| lib\features\setting\bidings                                                                    |          2 |         18 |          0 |          4 |         22 |
| lib\features\setting\controller                                                                 |          4 |        432 |          0 |        107 |        539 |
| lib\features\setting\views                                                                      |          4 |        300 |          0 |         44 |        344 |
| lib\features\setting\widgets                                                                    |         17 |      1,252 |          7 |        105 |      1,364 |
| lib\features\task_home                                                                          |         23 |      2,470 |          0 |        310 |      2,780 |
| lib\features\task_home\bidings                                                                  |          1 |         16 |          0 |          2 |         18 |
| lib\features\task_home\controllers                                                              |          1 |        499 |          0 |        103 |        602 |
| lib\features\task_home\model                                                                    |          2 |        132 |          0 |         22 |        154 |
| lib\features\task_home\view                                                                     |          1 |         81 |          0 |         11 |         92 |
| lib\features\task_home\widgets                                                                  |         18 |      1,742 |          0 |        172 |      1,914 |
| lib\routes                                                                                      |          2 |         79 |          0 |          5 |         84 |
| test                                                                                            |          2 |        314 |         41 |         62 |        417 |
| windows                                                                                         |         14 |        697 |         94 |        188 |        979 |
| windows (Files)                                                                                 |          1 |         89 |          0 |         20 |        109 |
| windows\flutter                                                                                 |          4 |        146 |          9 |         29 |        184 |
| windows\runner                                                                                  |          9 |        462 |         85 |        139 |        686 |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                        | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| f:\androidstudio\clockly\README.md                                                              | Markdown   |         11 |          0 |          7 |         18 |
| f:\androidstudio\clockly\analysis_options.yaml                                                  | YAML       |          3 |         22 |          4 |         29 |
| f:\androidstudio\clockly\android\app\src\debug\AndroidManifest.xml                              | XML        |          3 |          4 |          1 |          8 |
| f:\androidstudio\clockly\android\app\src\main\AndroidManifest.xml                               | XML        |         72 |          0 |         14 |         86 |
| f:\androidstudio\clockly\android\app\src\main\java\vn\edu\ntu\clockly\clockly\MainActivity.java | Java       |          4 |          0 |          3 |          7 |
| f:\androidstudio\clockly\android\app\src\main\res\drawable-v21\launch_background.xml            | XML        |          4 |          7 |          2 |         13 |
| f:\androidstudio\clockly\android\app\src\main\res\drawable\launch_background.xml                | XML        |          4 |          7 |          2 |         13 |
| f:\androidstudio\clockly\android\app\src\main\res\values-night\styles.xml                       | XML        |          9 |          9 |          1 |         19 |
| f:\androidstudio\clockly\android\app\src\main\res\values\styles.xml                             | XML        |          9 |          9 |          1 |         19 |
| f:\androidstudio\clockly\android\app\src\profile\AndroidManifest.xml                            | XML        |          3 |          4 |          1 |          8 |
| f:\androidstudio\clockly\android\build\reports\problems\problems-report.html                    | HTML       |        548 |          2 |        114 |        664 |
| f:\androidstudio\clockly\android\gradle.properties                                              | Properties |          6 |          0 |          2 |          8 |
| f:\androidstudio\clockly\android\gradle\wrapper\gradle-wrapper.properties                       | Properties |          5 |          0 |          1 |          6 |
| f:\androidstudio\clockly\devtools_options.yaml                                                  | YAML       |          3 |          0 |          1 |          4 |
| f:\androidstudio\clockly\lib\app.dart                                                           | Dart       |         23 |          0 |          4 |         27 |
| f:\androidstudio\clockly\lib\bidings\initial_biding.dart                                        | Dart       |         14 |          0 |          3 |         17 |
| f:\androidstudio\clockly\lib\core\components\app_alerts.dart                                    | Dart       |         25 |          0 |          5 |         30 |
| f:\androidstudio\clockly\lib\core\components\app_info.dart                                      | Dart       |         19 |          0 |          4 |         23 |
| f:\androidstudio\clockly\lib\core\components\avatar.dart                                        | Dart       |         14 |          0 |          4 |         18 |
| f:\androidstudio\clockly\lib\core\components\custom_snackbar.dart                               | Dart       |         20 |          0 |          2 |         22 |
| f:\androidstudio\clockly\lib\core\components\custom_text_button.dart                            | Dart       |         32 |          0 |          4 |         36 |
| f:\androidstudio\clockly\lib\core\components\custom_text_field.dart                             | Dart       |         66 |          0 |         16 |         82 |
| f:\androidstudio\clockly\lib\core\components\heading_text_page.dart                             | Dart       |         23 |          0 |          4 |         27 |
| f:\androidstudio\clockly\lib\core\components\primary_button.dart                                | Dart       |         58 |          0 |          4 |         62 |
| f:\androidstudio\clockly\lib\core\components\text_heading.dart                                  | Dart       |         10 |          0 |          3 |         13 |
| f:\androidstudio\clockly\lib\core\components\text_title.dart                                    | Dart       |         18 |          0 |          4 |         22 |
| f:\androidstudio\clockly\lib\core\constants\app_message.dart                                    | Dart       |         24 |          0 |          5 |         29 |
| f:\androidstudio\clockly\lib\core\constants\app_size.dart                                       | Dart       |         12 |          0 |          2 |         14 |
| f:\androidstudio\clockly\lib\core\services\ai_service.dart                                      | Dart       |         87 |          0 |         15 |        102 |
| f:\androidstudio\clockly\lib\core\services\app_info_service.dart                                | Dart       |         13 |          0 |          3 |         16 |
| f:\androidstudio\clockly\lib\core\services\auth_service.dart                                    | Dart       |        100 |          0 |         21 |        121 |
| f:\androidstudio\clockly\lib\core\services\notification_service.dart                            | Dart       |        141 |          0 |         28 |        169 |
| f:\androidstudio\clockly\lib\core\theme\app_colors.dart                                         | Dart       |         16 |          0 |          4 |         20 |
| f:\androidstudio\clockly\lib\core\theme\app_text_styles.dart                                    | Dart       |         25 |          0 |          4 |         29 |
| f:\androidstudio\clockly\lib\core\theme\app_theme.dart                                          | Dart       |         19 |          0 |          2 |         21 |
| f:\androidstudio\clockly\lib\core\utils\date_helper.dart                                        | Dart       |        302 |          0 |         13 |        315 |
| f:\androidstudio\clockly\lib\core\utils\dialog_helper.dart                                      | Dart       |        135 |          0 |         24 |        159 |
| f:\androidstudio\clockly\lib\core\utils\theme_helper.dart                                       | Dart       |         27 |          0 |          7 |         34 |
| f:\androidstudio\clockly\lib\features\analys\controller\analysis_controller.dart                | Dart       |        119 |          0 |         30 |        149 |
| f:\androidstudio\clockly\lib\features\analys\view\page_analys.dart                              | Dart       |         61 |          0 |         13 |         74 |
| f:\androidstudio\clockly\lib\features\analys\widget\custom_button_dropdown.dart                 | Dart       |         58 |          0 |          4 |         62 |
| f:\androidstudio\clockly\lib\features\analys\widget\custom_chart.dart                           | Dart       |        135 |          0 |         10 |        145 |
| f:\androidstudio\clockly\lib\features\analys\widget\custom_pie_chart.dart                       | Dart       |         49 |          0 |          7 |         56 |
| f:\androidstudio\clockly\lib\features\analys\widget\indicator.dart                              | Dart       |         49 |          0 |          5 |         54 |
| f:\androidstudio\clockly\lib\features\analys\widget\information_card.dart                       | Dart       |         75 |          0 |          8 |         83 |
| f:\androidstudio\clockly\lib\features\analys\widget\list_infomation.dart                        | Dart       |         45 |          0 |          8 |         53 |
| f:\androidstudio\clockly\lib\features\analys\widget\note_chart.dart                             | Dart       |         48 |          0 |          8 |         56 |
| f:\androidstudio\clockly\lib\features\analys\widget\productivity_trend_card.dart                | Dart       |        176 |          1 |         15 |        192 |
| f:\androidstudio\clockly\lib\features\analys\widget\weekly_performance_card.dart                | Dart       |        104 |          0 |          7 |        111 |
| f:\androidstudio\clockly\lib\features\auth\bidings\forgot_password_bidings.dart                 | Dart       |          8 |          0 |          2 |         10 |
| f:\androidstudio\clockly\lib\features\auth\bidings\login_bidings.dart                           | Dart       |          8 |          0 |          2 |         10 |
| f:\androidstudio\clockly\lib\features\auth\bidings\sign_up_bidings.dart                         | Dart       |          8 |          0 |          2 |         10 |
| f:\androidstudio\clockly\lib\features\auth\bidings\splash_bidings.dart                          | Dart       |          8 |          0 |          1 |          9 |
| f:\androidstudio\clockly\lib\features\auth\controllers\auth_helper.dart                         | Dart       |        182 |          1 |         23 |        206 |
